"site_id","entity_id","latitude","longitude","elevation","geology","cover_thickness","distance_entrance","elevation_sim","mineralogy","temp_ds","prec_ds","isot_ds","itps_ds","temp_full","prec_full","isot_full","itps_full","winter_prec"
"2","14","42.87","81.75","2000","unknown","NULL","NULL","1414.2206","calcite","6.0378","1.035","-9.5062","-10.034","6.039","1.0336","-9.4966","-10.026","0.9912"
"3","21","-4.0667","-55.45","60","limestone","NULL","200","126.7088","calcite","30.4666","3.1625","-5.4277","-6.3962","30.4861","3.1913","-5.4363","-6.422","5.2283"
"4","33","45.43","0.78","175","limestone","8","150","192.1966","calcite","13.3685","2.4281","-7.1275","-7.3424","13.3833","2.4345","-7.1381","-7.353","2.963"
"7","48","-24","29.1833","1420","dolomite","22.5","100","908.2495","aragonite","21.2475","2.8973","-6.1562","-8.1947","21.3066","2.8875","-6.1341","-8.1832","6.2121"
"8","51","54.2209","-2.5168","294","limestone","50","250","69.8863","calcite","10.2837","2.0764","-7.3043","-7.3416","10.2692","2.0734","-7.2992","-7.3321","2.6268"
"9","54","38.4","67.23","3226","unknown","NULL","NULL","519.8626","calcite","15.5359","0.7547","-4.5816","-6.3852","15.536","0.7556","-4.5772","-6.3828","1.0555"
"17","76","33.5833","105.1167","1650","unknown","NULL","600","1395.2304","calcite","10.4642","4.6055","-6.0855","-6.9315","10.4297","4.6046","-6.0735","-6.9203","1.4445"
"25","93","-5.92","-77.35","870","limestone","80","600","724.0781","calcite","24.5373","5.8985","-7.4513","-8.6154","24.5534","5.8879","-7.4495","-8.6144","7.5657"
"25","94","-5.92","-77.35","870","limestone","80","700","724.0781","calcite","24.5468","5.882","-7.4478","-8.6066","24.5534","5.8879","-7.4495","-8.6144","7.5657"
"26","95","67","15","165","marble","30","200","298.6316","calcite","-3.0073","2.3149","-9.8008","-9.7027","-3.031","2.3147","-9.7964","-9.6989","2.4314"
"27","97","-16","-47","200","dolomite","30","250","681.4387","aragonite","22.6156","5.4404","-6.3975","-8.3753","22.6652","5.444","-6.388","-8.3658","12.2865"
"32","107","-15.5784","46.7344","43","limestone","NULL","NULL","381.9425","mixed","27.3581","2.3923","-3.7005","-6.7592","27.4527","2.4075","-3.769","-6.7617","4.2486"
"38","113","-12.3819","-41.5733","680","limestone","NULL","500","527.7735","aragonite","25.7871","3.7553","-12.1268","-7.6888","25.7833","3.75","-12.1045","-7.6797","8.0978"
"39","115","25.2833","108.0833","680","limestone","100","500","1399.9222","calcite","15.3693","3.9874","-5.4397","-7.7477","15.3831","3.9883","-5.4283","-7.7476","0.7062"
"41","117","36.9917","137.8","170","limestone","NULL","700","313.3748","calcite","10.8461","4.1615","-7.7653","-7.7583","10.8459","4.163","-7.7662","-7.7584","2.7645"
"42","118","30.708","-9.3275","1250","limestone","NULL","NULL","237.3852","calcite","21.324","0.7208","-3.9132","-5.1754","21.3494","0.7242","-3.9322","-5.1951","1.2488"
"47","123","66.4381","14.1822","400","marble","NULL","NULL","216.5123","calcite","0.9783","2.3492","-9.6184","-9.6222","0.9304","2.3434","-9.6117","-9.6178","2.5827"
"48","124","37.89","-115.58","2400","limestone","NULL","100","1712.274","calcite","9.5331","1.1429","-9.9946","-11.0255","9.5276","1.1444","-9.9976","-11.0276","2.0371"
"52","128","-15.2055","-56.8","340","limestone","NULL","800","329.8015","calcite","26.4641","5.5091","-6.7422","-8.5222","26.4716","5.5136","-6.7535","-8.5287","10.7856"
"57","137","66","14","280","marble","NULL","NULL","150.8304","calcite","3.538","2.3207","-9.3852","-9.502","3.575","2.3261","-9.3827","-9.4981","2.6813"
"63","147","20.73","-89.716","20","unknown","NULL","NULL","26.5571","calcite","32.7384","2.1648","-5.0238","-5.8944","32.6335","2.1502","-5.0133","-5.8868","1.9077"
"72","161","45","22.6","1050","limestone","100","220","349.5117","calcite","13.3355","1.9125","-7.6589","-8.3764","13.3471","1.9112","-7.6578","-8.379","2.8025"
"74","163","-33.3925","22.2147","687","limestone","NULL","1100","755.8106","calcite","16.7975","1.2716","-6.1973","-6.5252","16.8119","1.2724","-6.2037","-6.5309","1.07"
"76","165","44.4","21.65","530","limestone","140","160","495.1455","calcite","12.1965","2.0838","-8.4497","-8.8077","12.1592","2.0778","-8.4361","-8.7968","2.1646"
"80","172","29.2289","107.9036","480","dolomite","300","NULL","790.7986","aragonite","15.2912","4.7278","-5.4839","-7.0427","15.2581","4.7187","-5.4947","-7.0416","1.1306"
"85","178","16.883","-89.108","530","limestone","NULL","8","502.6955","calcite","27.3902","1.788","-4.2333","-5.4321","27.3643","1.769","-4.206","-5.4058","1.6915"
"86","179","44.2568","15.5372","32","limestone","22","150","441.7566","calcite","13.664","2.521","-7.6565","-8.0674","13.6919","2.5296","-7.6613","-8.0757","3.3835"
"92","185","40.4833","72.5833","1435","limestone","40","35","2165.2042","calcite","4.7528","1.787","-8.9069","-10.0674","4.8182","1.7923","-8.907","-10.0816","1.655"
"94","187","-15.53","46.88","131","mixed","100","1000","387.4878","calcite","27.486","2.3238","-3.6324","-6.7342","27.4188","2.3414","-3.7623","-6.7512","4.0946"
"94","188","-15.53","46.88","131","mixed","100","1000","387.4878","mixed","27.4031","2.3411","-3.7615","-6.7687","27.4188","2.3414","-3.7623","-6.7512","4.0946"
"94","190","-15.53","46.88","131","mixed","NULL","NULL","387.4878","mixed","27.5127","2.3248","-3.8412","-6.7373","27.4188","2.3414","-3.7623","-6.7512","4.0946"
"98","196","52.25","-9.43","60","limestone","20","250","32.5001","calcite","11.8945","2.5732","-6.6292","-6.785","11.8997","2.5744","-6.6315","-6.7878","3.7376"
"99","197","-19.4","17.8833","1400","dolomite","NULL","100","1119.6373","mixed","22.7278","2.6944","-6.2933","-9.5757","22.6478","2.7312","-6.3683","-9.589","4.6342"
"101","201","46.95","10.55","1140","mixed","NULL","NULL","1044.4741","calcite","7.3778","3.4498","-9.8119","-9.9247","7.3763","3.4506","-9.8215","-9.9325","3.5692"
"102","202","64.89","14.16","570","mixed","14","200","377.5365","calcite","-1.4091","2.497","-10.8221","-10.6927","-1.4186","2.4964","-10.8249","-10.6945","2.3349"
"107","209","16.2086","-89.0735","336","limestone","14","50","569.3659","aragonite","27.7703","1.8207","-4.3099","-5.7343","27.7874","1.8178","-4.307","-5.7307","1.2454"
